0,TFP ,Preference ,Entrepreneur ,Banking_sector_net_worth_shock,Government_spending_shock,Investment_specific_technology,Labor_supply_shock,Monetary_policy_shock
1985.5,0.043604061,-1.3396559,-0.15434317,0.026314332,0.10584883,0.37780561,-0.25376309,0.11783116
1985.75,0.18118799,-1.8763775,0.012604229,0.90719994,-0.16870038,-0.46377174,-0.41211912,-0.086576693
1986,-0.20659438,-0.61978417,-0.037145061,0.40801887,-0.18601409,-0.29999179,-0.45197299,-0.071036024
1986.25,0.057510935,0.5297799,-0.21899028,0.23944245,0.043254269,-0.11241,-0.68747218,-0.24157517
1986.5,-0.33675193,-0.45543782,0.030104558,0.036305888,-0.14402703,0.007535288,-0.1355049,0.17605768
1986.75,-0.6466215,-1.4039813,-0.007145682,0.46292635,0.26465807,-0.61733804,-0.079231754,-0.1982731
1987,-0.036927333,1.6656771,-0.10632902,-0.52144318,0.17698901,0.30992349,-0.31085334,0.051218711
1987.25,-0.070117084,0.87680984,0.057087357,-0.44450054,-0.12657285,0.074037944,0.11928783,0.046899153
1987.5,-0.37632312,-0.10433001,-0.094929645,-0.24486818,0.6576751,0.035057848,0.1267662,-0.17990957
1987.75,0.15496321,1.1491327,-0.18211927,0.42633266,-0.28466355,-0.16878185,-0.092127981,-0.16481643
1988,-0.4212669,1.2501112,-0.052079428,-0.058798635,0.072068914,0.22759107,0.43196968,0.053741292
1988.25,-0.098467788,1.0250269,0.060200293,0.18256904,-0.22122307,-0.29093903,0.18636429,0.0532651
1988.5,-0.039090661,1.2252732,-0.2645146,0.011612045,0.079794324,0.24003143,-0.26768616,0.075281849
1988.75,-0.569762,0.619955,-0.010069574,0.32781167,0.19533652,-0.003809233,-0.064463629,0.24157796
1989,0.024353024,-0.52554403,-0.13736934,-0.13065974,-0.16819733,-0.14606445,-0.07083324,0.031758416
1989.25,0.1671795,1.0890868,-0.17400533,-0.29656441,0.012174523,0.42791791,-0.2119597,-0.010414268
1989.5,-0.28454363,-0.34099372,-0.45904624,-0.70595165,-0.2654887,-0.29987024,0.56160791,-0.013585638
1989.75,-0.69847637,0.7038256,-0.002868299,0.023920629,0.002997935,0.26791747,0.28631694,0.028314152
1990,-0.14763363,1.2600499,-0.2645611,-0.60409421,0.43730232,-0.25857814,-0.17578092,0.077643028
1990.25,-0.36487832,-0.18080207,-0.14363918,-0.65097852,0.022283932,-0.11318216,0.18095862,0.094024017
1990.5,-0.79594825,-1.9184886,-0.093220453,-0.44847698,-0.17898896,-0.49207632,0.19146454,-0.051995179
1990.75,-0.16532783,-0.8464162,-0.10818888,-0.18747814,-0.2266451,-0.54136023,-0.10093563,-0.12232681
1991,-0.1791158,0.9324649,-0.35069823,-0.23382954,0.44138107,0.22202866,-0.66937979,0.04801509
1991.25,-0.25117039,-0.78932635,-0.56016563,-0.20498641,0.24632022,-0.039493091,-0.16451038,0.009810617
1991.5,-0.16109996,-0.886644,-0.63629994,-0.28161625,0.3178486,-0.035148138,0.063899831,-0.13069708
1991.75,0.11803681,-0.030995229,-1.0203056,-0.43271626,0.08947893,0.086504587,0.083292729,-0.02571236
1992,0.12021575,-1.2182132,-0.28627666,0.17989685,-0.071716656,0.45244974,0.26580554,0.025113834
1992.25,0.37709859,0.085202877,-0.68831664,0.13780279,0.00925036,0.068067783,-0.2192728,-0.045964014
1992.5,0.15489792,0.20198182,-0.33099289,0.054353322,-0.025097833,0.31382602,-0.26966139,-0.041337079
1992.75,-0.11767148,-1.0799839,-0.4213478,0.049029626,-0.072609153,-0.085219258,-0.3119276,0.052095452
1993,-0.24261575,-0.32481708,-0.11297898,-0.11434929,-0.12200974,0.15252043,-0.42799613,-0.002016903
1993.25,0.058793287,0.38238857,-0.19783314,0.30820441,0.08785025,0.21538828,-0.76057462,-0.015670683
1993.5,-0.066055614,-0.064834382,-0.061366527,-0.24380873,-0.12832224,0.3479105,0.15010495,-0.099413749
1993.75,-0.084387309,1.0323606,-0.036875038,-0.71542535,5.17E-05,-0.036599084,-0.092280696,-0.028260681
1994,-0.11085921,1.1527124,0.086007931,-0.70355158,0.41260662,0.3082624,-0.26006768,0.080247883
1994.25,-0.27174985,0.1787313,0.17961336,-0.58646265,-0.19983542,-0.26327064,0.12366781,0.018500825
1994.5,-0.18347838,1.1388046,0.10576,-0.43302354,0.27400035,0.41413605,-0.29457322,0.070644464
1994.75,0.089718233,-0.3196352,0.099485749,-0.52399604,-0.004960035,0.1359344,0.021179826,0.084380136
1995,0.40371571,-0.05156804,0.040366949,-0.39951561,-0.14782587,-0.35118152,-0.39786436,0.04859873
1995.25,-0.03696096,-0.47804257,0.053952309,-0.34286124,-0.33424976,-0.058089207,-0.019767341,0.025154778
1995.5,0.38235428,-0.20026637,-0.00382831,-0.041466707,-0.20421372,0.1816463,-0.32112104,0.036799322
1995.75,-0.15813651,-0.059921323,-0.073783023,-0.40139799,-0.23819128,0.073422743,-0.15192888,-0.005874002
1996,-0.077613253,0.58285399,0.067524999,-0.19957431,0.37875272,0.42523846,-0.63386011,-0.006368191
1996.25,-0.24350222,-0.73460615,0.21595317,-0.10052025,0.075636712,0.10641779,-0.17934046,-0.017274506
1996.5,-0.022341881,-0.46726588,0.19455093,0.04494612,-0.10634603,-0.094087122,-0.43091679,-0.024058866
1996.75,-0.18326972,0.22238155,0.18516564,-0.36331345,0.14736011,0.073346196,-0.35045257,-0.010104044
1997,0.3645819,-0.22641497,0.33551418,-0.11101758,0.29597674,0.23755465,-0.24997426,0.025516667
1997.25,0.39581656,0.8002913,0.26051751,0.14801034,0.15529761,0.32482651,-0.49284954,-0.01481189
1997.5,0.23495311,0.012186893,0.19147137,0.12460377,0.20757561,-0.31645203,0.032464137,-0.011616924
1997.75,0.73383975,0.29650737,0.13501646,-0.014428636,0.088053177,0.22512889,0.1755732,0.016624625
1998,0.68486405,0.57359692,0.11084381,0.29477627,-0.14300141,0.17873357,-0.079312383,0.054376912
1998.25,0.37114269,-0.16580864,-0.11456749,0.28253319,-0.051442383,-0.040097693,0.16678575,0.052379808
1998.5,0.34486513,0.54627474,-0.21359752,0.3018884,0.28207689,0.47036227,-0.19117172,-0.16014444
1998.75,0.61266007,0.42443981,-0.11802729,0.21630333,-0.082951567,0.12205077,0.51213753,0.022047613
1999,0.15137192,1.0580293,0.018352381,0.11809945,-0.17423449,0.28483798,0.082371697,-0.035130666
1999.25,0.2333768,1.4501466,-0.25218792,0.08847708,0.23492918,0.53308171,0.20030467,0.057624196
1999.5,0.3808935,1.347532,-0.045128178,0.18230227,0.4651031,0.20478131,0.42656171,-0.017806128
1999.75,-0.37090358,0.098140647,-0.087277529,0.26620498,-0.61592736,0.39313181,0.83781534,0.088950634
2000,0.52725802,1.7000185,-0.21626116,0.10544936,0.51429347,0.9032029,-0.47020714,0.16774352
2000.25,0.33541486,0.40416828,-0.20049383,0.16183467,-0.11778405,0.20240482,-0.11148386,0.096631954
2000.5,0.22106881,-0.82235199,0.125816,0.47202354,-0.12981242,0.13063685,-0.17820031,0.14128721
2000.75,-0.25528629,-1.3578483,-0.18677957,0.43629602,-0.34478268,0.016606133,-0.088815171,-0.041615173
2001,0.21844062,-0.311751,-0.21976609,0.53304041,0.35281092,0.2597885,-0.59788732,-0.13761072
2001.25,-0.01293509,-1.6521355,-0.1183396,0.29749695,-0.45520516,-0.003096694,0.117199,-0.06751803
2001.5,0.21725055,0.26416673,-0.41785442,0.12397427,-0.11653767,-0.090186278,-0.38002076,-0.17762905
2001.75,-0.086691988,-0.091718743,0.28422976,0.44266894,0.33540215,0.23353662,0.008827862,0.009574152
2002,-0.23595599,-0.030399219,-0.040397152,0.20234912,0.28949885,0.16130068,-0.003716901,0.013531038
2002.25,0.001539888,-0.75166957,-0.10636977,-0.18171961,0.089475389,0.065358583,-0.023931527,0.02787721
2002.5,0.11570745,0.077773414,0.25788081,-0.38340261,0.31774248,0.13107961,-0.021360258,-0.099034198
2002.75,-0.19074197,-1.2522659,0.27993164,0.09874923,-0.02013636,-0.10726851,0.41469633,-0.004075318
2003,0.46639619,-0.76895465,0.21013544,0.30986471,-0.15392274,0.22569297,0.12101121,0.01170262
2003.25,0.50119684,1.7639213,0.2009985,-0.3826294,0.32378917,0.52032271,-0.22127682,-0.069653769
2003.5,-0.012660767,-0.60651384,0.43835274,-0.041076929,0.052669243,0.014818506,0.19296799,-0.076751957
2003.75,-0.01451048,-0.11118879,0.046437979,0.15907141,0.25782213,-0.20347201,-0.037894219,-0.091585075
2004,0.16454733,-0.050376775,0.41838067,0.052777716,-0.089889344,0.32131491,0.77668216,-0.12613835
2004.25,0.3076588,0.39576571,0.2734888,0.56556616,-0.036711677,0.12413341,0.05350096,-0.016755121
2004.5,0.064196855,0.17345728,0.28719331,0.36455827,-0.14038719,-0.11849337,0.12555026,-0.00194298
2004.75,0.074204042,-0.067029013,0.19937308,0.31992779,-0.092966037,-0.030310731,0.082316976,0.009875675
2005,-0.23748856,-0.14453123,0.90482432,0.7472316,-0.44426664,-0.17768413,-0.12658279,-0.000689409
2005.25,-0.40125391,0.56917817,0.4308042,-0.052125122,-0.0699501,-0.01493105,-0.24377154,0.029735644
2005.5,-0.18039022,0.37364644,0.37780149,-0.040922369,-0.029560018,0.012730428,-0.44818477,0.044081044
2005.75,-0.26402758,0.77791015,0.41552429,0.45257563,0.001619927,0.21999252,-0.68736766,0.027572182
2006,-0.59377488,0.43393755,0.23558091,0.062717264,-0.044603457,-0.35646041,-0.54116612,0.040918599
2006.25,-0.25016007,0.35705747,0.33901997,0.52244345,0.014790648,-0.33857165,-0.78855333,0.054662879
2006.5,-0.68544863,0.60835518,0.36588135,0.68189634,0.071194983,-0.27676449,-0.56976261,0.000818758
2006.75,-0.3582856,0.57019957,0.043484131,0.23207751,-0.027933835,-0.13976306,-0.44543806,0.021904944
2007,-0.17461754,0.64459862,0.14351596,-0.054256335,0.34403646,0.16290497,-0.30327513,0.036154349
2007.25,-0.20557984,-0.41792193,-0.18355206,-0.028224192,0.20272523,-0.11615686,0.23531202,0.014915788
2007.5,-0.30427242,-0.72820443,-0.27749474,-0.050797307,0.023001704,-0.095576698,0.82812095,-0.044097097
2007.75,-0.59528482,-0.90279422,-0.32802081,-0.01064478,0.03922597,0.00948238,1.2364443,-0.29976807
2008,-0.48734494,-1.0726939,-0.51268678,-0.40200289,-0.042128899,0.11604094,1.5646681,-0.1346397
2008.25,-0.42905246,-2.1129591,-0.50889449,-0.63655399,-0.21953754,-0.27074048,2.0726117,0.009834958
2008.5,-0.47875802,-1.9290301,-1.1649903,-1.4599487,-0.723981,-0.65518085,2.0502633,-0.25036109
2008.75,-0.3299837,-0.16257891,-0.87949886,0.61384571,-0.35113072,-1.2481707,1.0552543,0.13901659
2009,-0.34498781,-1.1071563,-0.70123961,1.0804896,-0.37439615,0.22000122,1.0227156,0.194472
2009.25,0.31814404,1.1731877,-0.58301504,0.88351031,0.18694196,0.41118302,-0.3269898,0.17752693
2009.5,-0.22781052,1.0230942,-0.59907079,-0.08751122,0.30072602,0.086455017,0.13824778,0.14415221
2009.75,-0.51854158,0.19112262,-0.036584907,0.39047122,0.18008135,-0.21253635,0.12094939,0.10537267
2010,-0.04671148,1.3063906,0.11399643,-0.063975772,0.27497731,0.40143783,-0.16762564,0.032562646
2010.25,-0.094105357,0.045941751,-0.5100918,-0.86156411,0.39468684,-0.49136736,-0.14778956,0.033061684
2010.5,0.24286222,1.0739521,0.23580167,-0.61927332,-0.27964403,-0.19081153,-0.1004646,0.035031812
2010.75,-0.000262396,-0.004876284,-0.001347477,0.008995001,-0.01059248,0.002772813,0.015732379,-0.000245121
